Name,Country,Years active,Proven victims,Possible victims,Notes,Countries_active,Countries_num,Proven_victims,Possible_victims,Start_year,Finish_year,Active_years
Charlie Brandt,United States,1971 to 2004,4,29,"Committed suicide by hanging after murdering his wife and niece. The latter was also decapitated and eviscerated in a manner strongly similar to 26 unsolved murders of women in Florida, starting in 1973, the year Brandt moved to the state. Brandt was later considered the culprit in one of these murders, due to his strong resemblance to a suspect who was filmed by a traffic camera near the place where one body was found. He could not be officially tied to the other crimes due to lack of evidence. Previously, when he was 13 years old in 1971, he attempted to murder his whole family with a gun, for no apparent reason. His mother (who was pregnant) died in this attack, but his father survived, and his sister escaped.",['United States'],1,4,29.0,1971,2004,33
Robert Black,"United Kingdom
Ireland (suspected)
West Germany (suspected)
Netherlands (suspected)
France (suspected)",1981 to 1986,4,18+,"Convicted of kidnapping, raping and murdering four girls aged between five and 11. Suspect in other earlier child murders in the UK and other European countries. Died weeks before he was to be charged with a fifth child murder.","['United Kingdom', 'Ireland (suspected)', 'West Germany (suspected)', 'Netherlands (suspected)', 'France (suspected)']",5,4,18.0,1981,1986,5
Max Gufler,Austria,1946 to 1958,4,18,"Poisoned and drowned four women, but suspected of killing 18 in total.",['Austria'],1,4,18.0,1946,1958,12
Ernesto Picchioni,Italy,1949 and earlier,4,16,Murdered people who approached his home; died of cardiac arrest in 1967.,['Italy'],1,4,16.0,Unknown,1949,Unknown
Baekuni,Indonesia,1993 to 2010,4,14,"Pedophile who raped and killed young boys; initially sentenced to life imprisonment, but changed to the death sentence.",['Indonesia'],1,4,14.0,1993,2010,17
Igor Chernat,Soviet Union,1985 to 1986,4,13,"Known as the ""Evil Spirit of Kaukjarvi""; Ukrainian soldier who raped and killed women in Kamenka, selling their stolen items afterwards; executed 1987.",['Soviet Union'],1,4,13.0,1985,1986,1
Ricky Lee Green,United States,1985 to 1986,4,12,Bisexual drifter who killed people he met in bars; his wife assisted in two of the murders; executed in 1997.,['United States'],1,4,12.0,1985,1986,1
Robert Hicks Murray,United Kingdom,1912 and earlier,4,11+,Bigamist who murdered his wife and three children in a murder-suicide; posthumously revealed to have killed previous wives as well.,['United Kingdom'],1,4,11.0,Unknown,1912,Unknown
Dallen Bounds,United States,1999,4,4+,"Murdered a Radio Shack manager, and a florist at their respective places of business. Then murdered two acquaintances before taking two others hostage and committing suicide. Suspected of additional murders in the Pacific Northwest.",['United States'],1,4,4.0,1999,1999,0
Stephen Port,United Kingdom,2014 to 2015,4,4+,"Nicknamed ""The Grindr Killer"", Port met his victims via online gay social networks. He used gamma-Hydroxybutyric acid (GHB), a date rape drug, adding it to drinks given to his victims, raped them, and murdered four of them in his flat in Barking, east London.",['United Kingdom'],1,4,4.0,2014,2015,1
Robert Maudsley,United Kingdom,1974 to 1978,4,4,"Sentenced to life without parole in 1974 for murdering a man who had shown him pictures of young boys he had sexually abused. Subsequently, killed another child sex offender in Broadmoor high-security hospital and two more, including a child sex offender, in prison. Has been held in solitary confinement since 1983.",['United Kingdom'],1,4,4.0,1974,1978,4
Sharon Kinne,United States,1960 to 1964,3,3,Sociopathic serial killer that murdered romantic partners with a handgun. Currently at large since her escape from prison in 1969.,['United States'],1,3,3.0,1960,1964,4
Ted Kaczynski,United States,1978 to 1996,3,3,"Domestic terrorist and serial bomber known as the ‘Unabomber’, Kaczynski was responsible for more than two dozen bombings of universities and one airline bombing from 1978 to 1996, justified by Kaczynski by his philosophy that technological advancements would destroy humanity. Arrested in 1996 due to his brother David recognizing the then unidentified Unabomber's manifesto titled: Industrial Society and Its Future, as the work of Kaczynski. Currently imprisoned at ADX Florence.",['United States'],1,3,3.0,1978,1996,18
Robert Ben Rhoades,United States,1989 to 1990,3,50+,Convicted of murdering three women in Texas and Illinois between 1989 and 1990. Sentenced to life imprisonment.,['United States'],1,3,50.0,1989,1990,1
Peter Tobin,United Kingdom,1991 to 2006,3,48,"Scottish rapist and serial killer known to have killed at least three young women. Also a suspect in the Bible John murders, committed in Glasgow during the late 1960s.",['United Kingdom'],1,3,48.0,1991,2006,15
Pedro Padilla Flores,Mexico,1986,3,30,Killed three women in 1986; fled to the US but recaptured and deported back to Mexico; main suspect in the Ciudad Juárez Murders.,['Mexico'],1,3,30.0,1986,1986,0
Billy Glaze,United States,1986 to 1987,3,20+,"Known as ""Butcher Knife Billy"". Killer convicted of raping and murdering three Native American prostitutes in Minneapolis in 1986 and 1987.",['United States'],1,3,20.0,1986,1987,1
Bertha Gifford,United States,1909 to 1928,3,17,"Found not guilty by reason of insanity of three arsenic poisonings and suspected of 14 other killings, mostly children, in Missouri.",['United States'],1,3,17.0,1909,1928,19
Bernhard Prigan,"Allied-occupied Germany
West Germany",1947 to 1952,3,16,Killed women near highways; confessed to a total of 16 murders.,"['Allied-occupied Germany', 'West Germany']",2,3,16.0,1947,1952,5
Stephen Griffiths,United Kingdom,2009 to 2010,3,14,"Known to have killed three prostitutes, but claims to have killed 14 to beat ""Yorkshire Ripper"" Peter Sutcliffe. Dubbed himself the ""Crossbow Cannibal"" as he killed his victims with a hammer and crossbow and then later ate parts of them.",['United Kingdom'],1,3,14.0,2009,2010,1
Koos Hertogs,Netherlands,1979 to 1980,3,12,"Dutch serial killer convicted of abducting, torturing, raping and killing three girls. Suspected of killing a further three to nine girls and young women in the 1970s.",['Netherlands'],1,3,12.0,1979,1980,1
Chisako Kakehi,Japan,2007 to 2013,3,10,"Poisoned her husband and two other men to death, but suspected in another seven deaths; sentenced to death.",['Japan'],1,3,10.0,2007,2013,6
Dorothea Puente,United States,1982 to 1988,3,9–25,Ran a boarding house in Sacramento where she poisoned tenants and buried them in the yard in order to steal their social security checks.,['United States'],1,3,17.0,1982,1988,6
Patrick Mackay,United Kingdom,1973 to 1975,3,12,"Burglar suspect of 12 violent murders during robberies, charged with five and convicted of three. Bragged that he had killed 11 people. In prison for life.",['United Kingdom'],1,3,12.0,1973,1975,2
Leonarda Cianciulli,Italy,1939 to 1940,3,,"Murdered three women in the town of Correggio, Reggio Emilia, and turned their bodies into soap and cakes.",['Italy'],1,3,,1939,1940,1
Özkan Zengin,Turkey,2008,3,4,Slit the throats of three confirmed victims before dumping the bodies in wells. Reportedly confessed to an additional murder.,['Turkey'],1,3,4.0,2008,2008,0
Albert Fish,United States,1924 to 1932,3,9-100+,American serial killer and child rapist who confessed to three murders for which he was convicted and sentenced to death.,['United States'],1,3,109.0,1924,1932,8
Heriberto Seda,United States,1990 to 1996,3,8+,"Considered to be a copycat of the Zodiac Killer. Claimed to have killed people based on their zodiac signs, and only killed when certain star formations were out.",['United States'],1,3,8.0,1990,1996,6
John Martin,United Kingdom,1995,3,3+,"(Birth name John Martin Scripps, alias Simon James Davis) While on the run after escaping Britain, Martin killed at least three tourists between 8 and 14 March 1995 and robbed them of their possessions and money: one in Singapore and two in Thailand. He also dismembered their bodies and dumped them in various areas, such as the sea or abandoned places. Martin was also alleged to have killed at least three more people in other countries, such as the USA, but these were unconfirmed. He was arrested in Changi Airport when he returned to Singapore on 19 March 1995, and was charged with murder. Martin was found guilty of the one murder he committed in Singapore and thus sentenced to death in November 1995. Martin was executed on 19 April 1996, after he declined to appeal against his sentence.",['United Kingdom'],1,3,3.0,1995,1995,0
Carl Eugene Watts,United States,1974 to 1982,14,80+,"Believed to have killed over 80 women in multiple states, in 1982 Watts accepted a plea bargain in Texas in which he would plead guilty to a lesser charge and be granted immunity from murder charges in exchange for providing information on his victims; as a result he confessed to 12 murders and was sentenced to 60 years in prison on the lesser charge. He was sentenced to life imprisonment in separate trials in Michigan in 2004 and 2007, and died of cancer a week after the 2007 sentence was handed down.",['United States'],1,14,80.0,1974,1982,8
Philipp Tyurin,Soviet Union,1945 to 1946,14,29,"Known as the ""Leningrad Maniac"" and the ""Hellraiser""; murdered people for monetary reasons at his hut in Leningrad; executed 1947.",['Soviet Union'],1,14,29.0,1945,1946,1
Zdzisław Marchwicki,Poland,1964 to 1970,14,21+,"Also known as Vampire of Zagłębie. Killed 14 women in 1964–1970 in Poland's region of Dąbrowa Basin. Zdzisław Marchwicki was most likely the man responsible for the killings; however, his guilt remains in dispute. Executed in 1977.",['Poland'],1,14,21.0,1964,1970,6
Monster of Florence,Italy,1968 to 1985,14,16,"Unidentified killer who shot couples in lovers lanes and mutilated the women, taking their sexual organs and in the last two cases, also their left breast. 69-year-old farmer Pietro Pacciani was controversially convicted of 14 crimes in 1994 and sentenced to life in prison, but he was released following allegations that the scant evidence had been planted in an attempt to close the case, which was by then the largest and most mediatic in Italy's criminal history. Pacciani was scheduled for retrial in 1998 when he died after taking medication contraindicated to his heart problems. Pacciani's two alleged accomplices, Mario Vanni and Giancarlo Lotti, were sentenced to life and 30 years in prison, respectively. Some believe that none of the accused were guilty, and that Lotti incriminated himself and the other two because he was homeless and wanted to live in prison.",['Italy'],1,14,16.0,1968,1985,17
Joachim Kroll,West Germany,1955 to 1976,14,,"Known as the ""Ruhr Cannibal"" and ""The Duisburg Man-Eater""; died from a heart attack in prison in 1991.",['West Germany'],1,14,,1955,1976,21
Arthur Shawcross,United States,1972 to 1989,14,,"Committed arson and burglary, served two years of a five-year sentence. Within a year of his release, he raped and murdered two children in 1972. Under a plea bargain, he was sentenced to 25 years. Released after serving 141/2 years, he began killing again a year later, targeting prostitutes. Known as the ""Genesee River Killer"", ""Genesee River Strangler"", ""Rochester Strangler"", and ""Monster of the Rivers"", he strangled and battered his victims. Sentenced to life without parole. Died of cardiac arrest in 2008.",['United States'],1,14,,1972,1989,17
The Doodler,United States,1974 to 1975,14,,"Unidentified serial killer who sketched then stabbed to death 14 gay men in San Francisco. Surviving victims did not wish to testify, so the killer was not identified.",['United States'],1,14,,1974,1975,1
Marcelo Costa de Andrade,Brazil,1991,14,,Known as The Vampire of Niterói. Raped and killed 14 children in Rio de Janeiro and Niterói. Drank the blood of his victims. Found not guilty by reason of insanity.,['Brazil'],1,14,,1991,1991,0
Julio Pérez Silva,Chile,1998 to 2001,14,,Known as The Psychopath from Alto Hospicio; killed 14 women. Sentenced to life imprisonment in 2004.,['Chile'],1,14,,1998,2001,3
Sergey Shipilov,Russia,1995 to 1999,14,,"Known as the ""Velsk Chikatilo""; killed female hitchhikers in the town of Velsk, most of them while out on prison leave; sentenced to life imprisonment.",['Russia'],1,14,,1995,1999,4
Abdufatto Zamanov,Russia,2002 to 2004,14,,Killed people out of personal hostility; also raped two young girls; sentenced to life imprisonment.,['Russia'],1,14,,2002,2004,2
Jeong Nam-gyu,South Korea,2004 to 2006,14,,"Kidnapped, raped and murdered people; committed suicide.",['South Korea'],1,14,,2004,2006,2
Amir Qayyum,Pakistan,2005,14,,"Known as ""The brick killer"". Killed 14 homeless men with rocks or bricks when they were asleep. Sentenced to death in May 2006.",['Pakistan'],1,14,,2005,2005,0
Jake Bird,United States,1930s to 1947,13,44,Sentenced to death for the murders of two people; confessed to 44 other murders; 11 were substantiated and he was suspected in the others. Executed by hanging in 1949.,['United States'],1,13,44.0,1930,1947,17
Belle Gunness,United States,1900 to 1908,13,40+,"Norwegian-born murder-for-profit killer who murdered her suitors and relatives in Indiana. High possibility of committing over 40 murders. May have faked her own death in the fire that destroyed her home in 1908; her children had died of strychnine poisoning before the fire, and the woman's body found next to them was decapitated and, reportedly, smaller than Gunness' own. Ultimate fate unknown.",['United States'],1,13,40.0,1900,1908,8
Cleveland Torso Murderer,United States,1934 to 1938,13,40+,"Unidentified serial killer, also known as ""The Mad Butcher of Kingsbury Run"", who targeted drifters and derelicts, of whom only two were identified, between 1934 and 1938 in Cleveland, Ohio.",['United States'],1,13,40.0,1934,1938,4
Kaspars Petrovs,Latvia,2003,13,38+,"Confessed to strangling 38 elderly residents of Riga, Latvia, in 2003. Convicted and sentenced to life imprisonment for the robbery and murder of 13.",['Latvia'],1,13,38.0,2003,2003,0
Richard Ramirez,United States,1984 to 1985,13,20,"Killed 13 people between 28 June 1984, and 24 August 1985, in Los Angeles. Known as the ""Night Stalker"". Ramirez was sentenced to death in 1989, and died of B-cell lymphoma in 2013 while still on death row.",['United States'],1,13,20.0,1984,1985,1
Sleepy Hollow Killer,South Africa,1990s to 2007,13,16+,"Raped and murdered women, mostly sex workers, around Pietermaritzburg and the Midlands of KwaZulu-Natal.",['South Africa'],1,13,16.0,1990,2007,17
Peter Sutcliffe,United Kingdom,1975 to 1980,13,15,"Killed 13 women between 30 October 1975, and 17 November 1980. Most victims were killed by a combination of bludgeoning and stabbing, and all but two were killed in the county of Yorkshire. Owing to the modus operandi and location of the murders, Sutcliffe became known as the ""Yorkshire Ripper."" Sentenced to 20 concurrent life sentences. After three years he was sent to a secure psychiatric facility, where he served 25 years before being found ""fit to leave"" in 2009. Government officials and courts ruled in 2010 that he would never be released. In 2015, he was declared ""no longer mentally ill"", and transferred to a maximum security prison.",['United Kingdom'],1,13,15.0,1975,1980,5
Francisco Antonio Laureana,Argentina,1974 to 1975,13,13+,"Raped 15 women in San Isidro, killing 13 of them. Shot and killed during a firefight with police.",['Argentina'],1,13,13.0,1974,1975,1
Tamara Samsonova,Russia,1995 to 2015,13,13+,"Known as the ""Granny Ripper""; killed and allegedly cannibalized people in her apartment; committed to a psychiatric clinic.",['Russia'],1,13,13.0,1995,2015,20
Herbert Mullin,United States,1972 to 1973,13,,"Despite detailed confessions, prosecutors decided not to try him for the first three crimes, instead focusing on crimes that conflicted with his insanity plea. Sentenced to imprisonment for life.",['United States'],1,13,,1972,1973,1
Boston Strangler,United States,1962 to 1964,13,,"Although Albert DeSalvo was widely thought to be the Boston Strangler, police and others analysing the case have long doubted the truth of his confession. Sentenced to life for a series of rapes, he was murdered in prison. DeSalvo's body was exhumed for DNA testing, and compared to a substance found on the exhumed body of the Boston Strangler's last victim. In 2001, it was declared not to match, but in 2013 officials announced that improvements in DNA extraction technology produced viable samples from the degraded evidence. DeSalvo's body was reexhumed and found to match.",['United States'],1,13,,1962,1964,2
Lorenzo Gilyard,United States,1977 to 1993,13,,"Known as ""The Kansas City Strangler"". Killed up to 13 prostitutes in the Kansas City area from 1977 to 1993. Sentenced to life in 2007.",['United States'],1,13,,1977,1993,16
Joseph James DeAngelo,United States,1979 to 1986,13,,"Top suspect in the murders committed by ""Golden State Killer"", ""Original Night Stalker"", and ""East Area Rapist"". Committed at least 12 murders, 50 rapes, and 120 burglaries across California in the 1970s and 1980s. He was identified and arrested in 2018 after DNA evidence confirmed it was him.",['United States'],1,13,,1979,1986,7
Vladimir Storozhenko,Soviet Union,1978 to 1981,13,,"Known as the ""Smolensky Strangler""; tortured and murdered women for sexual pleasure; four other innocent men were initially convicted for his crimes; executed 1984.",['Soviet Union'],1,13,,1978,1981,3
Vasiliy Kulik,Soviet Union,1984 to 1986,13,,Known as the Irkutsk Monster; killed at least 13 victims from 1984 to 1986. Executed by firing squad in 1989.,['Soviet Union'],1,13,,1984,1986,2
Nikolai Dudin,"Soviet Union
Russia",1987 to 2002,13,,"Known as the ""Grim Maniac""; killed his father in 1987, and after release, killed 12 more people while intoxicated; sentenced to life imprisonment.","['Soviet Union', 'Russia']",2,13,,1987,2002,15
Denis Pischikov,Russia,2002 to 2003,13,,"Known at the ""Shivering Creature""; robbed and killed elderly people around the Moscow Oblast and Vladimir Oblast; sentenced to life imprisonment.",['Russia'],1,13,,2002,2003,1
Nikolay Shubin,Russia,2004 to 2006,13,,Paranoid schizophrenic who killed people who beat him in chess games; sentenced to compulsory treatment.,['Russia'],1,13,,2004,2006,2
Johannes Mashiane,South Africa,1982 to 1989,13,,"Known as ""The Beast of Atteridgeville"", he was found guilty of 13 counts of murder and 12 counts of sodomy from 1982 to 1989. Committed suicide by throwing himself under a bus while being pursued by police in 1989.",['South Africa'],1,13,,1982,1989,7
Mukosi Freddy Mulaudzi,South Africa,1990 to 2006,13,,"Known as ""The Limpopo Serial Killer""; escaped convict, originally responsible for two murders, who murdered 11 more after his prison escape; given 11 life sentences.",['South Africa'],1,13,,1990,2006,16
Thozamile Taki,South Africa,2007,13,,"Known as the ""Sugar cane serial killer"", he murdered 13 women. Convicted in 2010.",['South Africa'],1,13,,2007,2007,0
Rainbow Maniac,Brazil,2007 to 2008,13,,"Unidentified serial killer who shot gay men in the head (except one, who was bludgeoned) in the Paturis Park of Carapicuiba.",['Brazil'],1,13,,2007,2008,1
Naceur Damergi,Tunisia,1980s to 1988,13,,Raped and killed minors in the Nabeul region; executed by hanging in 1990.,['Tunisia'],1,13,,1980,1988,8
Adolf Seefeldt,Germany,1908 to 1935,12,100,"Known as the ""Sandman""; sexually abused young boys in their sleep, then poisoned them; suspected of 100 murders in total. Executed by guillotine in 1936.",['Germany'],1,12,100.0,1908,1935,27
Donald Henry Gaskins,United States,1953 to 1982,12,31–80+,"Known as ""The Meanest Man in America"", Gaskins was convicted of nine murders committed in South Carolina between 1973 and 1975. He was suspected of 31 murders. Two victims had been murdered while Gaskins had been incarcerated—one while Gaskins had been on death row. Later claimed on death row that he had murdered between 80 and 110 victims. Executed by electric chair in 1991.",['United States'],1,12,56.0,1953,1982,29
William Suff,United States,1986 to 1992,12,22,"Previously served 10 years of a 70-year sentence for beating his baby daughter to death. Beginning two years after his release, this county store clerk raped, stabbed, strangled, and sometimes mutilated 12 or more prostitutes in Riverside County, California. Known as the ""Riverside Prostitute Killer"" and the ""Lake Elsinore Killer."" Sentenced to death.",['United States'],1,12,22.0,1986,1992,6
Vladimir Romanov,"Soviet Union
Russia",1991 to 2005,12,20,"Known as the ""Kaliningrad Maniac""; pedophile who raped and murdered girls and young women in the Kaliningrad Oblast; committed suicide while imprisoned.","['Soviet Union', 'Russia']",2,12,20.0,1991,2005,14
Maury Travis,United States,2000 to 2002,12,17,Killed prostitutes in the St. Louis area from 2000 to 2002. Caught when he mailed an Expedia.com map showing where to find a body to a St. Louis newspaper. Committed suicide by hanging in prison.,['United States'],1,12,17.0,2000,2002,2
Dennis Nilsen,United Kingdom,1978 to 1983,12,15–16,"Picked up young men in London between 1978 and 1983 and dismembered them, keeping various body parts around his home. Died from surgical complications in 2018.",['United Kingdom'],1,12,16.0,1978,1983,5
Kenneth Bianchi,United States,1977 to 1978,12,15,"Convicted of strangling 12 female victims aged 12 to 28 and suspected in another three cases. One of the ""Hillside Stranglers"". Sentenced to imprisonment for life.",['United States'],1,12,15.0,1977,1978,1
Charles Sobhraj,"Thailand
Nepal
India
Malaysia",1975 to 1976,12,13,"French con man known as ""The Bikini Killer"" or ""The Serpent"" that targeted Western tourists in vacation spots of South-east Asia, often with the help of female accomplices. Imprisoned in India from 1976 to 1997, and from 2004 serving a life sentence in Nepal.","['Thailand', 'Nepal', 'India', 'Malaysia']",4,12,13.0,1975,1976,1
Abdallah al-Hubal,Yemen,1990 to 1998,12,,"Killed seven people after a Yemeni reunion; fled prison, then proceeded to kill a young couple and three more people; killed during a shootout with police.",['Yemen'],1,12,,1990,1998,8
Nikolai Shestakov,Soviet Union,1975,12,,"Known as the ""Luberetsky Maniac""; truck driver who raped and killed girls and young women; supposedly executed in 1977.",['Soviet Union'],1,12,,1975,1975,0
Anatoly Sedykh,Russia,1998 to 2003,12,,"Raped and killed women around Lipetsk, then robbed their corpses; sentenced to life imprisonment.",['Russia'],1,12,,1998,2003,5
Joseph Christopher,United States,1980 to 1981,12,,"Known as ""The Midtown Slasher""; racist who killed 12 people, all but one of them African Americans, in 1980 and 1981, between upstate New York and Georgia, mutilating two of them. Sentenced to life imprisonment, died in prison age 33 of breast cancer.",['United States'],1,12,,1980,1981,1
"""Paraquat murders"" killer",Japan,1985,12,,Unidentified serial killer who carried out a series of indiscriminate poisonings in Japan in 1985 that killed 12.,['Japan'],1,12,,1985,1985,0
Enriqueta Martí,Spain,1900 to 1912,12,,"Self-proclaimed witch that abducted, prostituted, murdered and made potions with the bodies of small children that she sold in Barcelona. Remains of 12 different children were identified in her home, but she is believed to have murdered more. Murdered in prison by fellow immates while awaiting trial in 1913.",['Spain'],1,12,,1900,1912,12
Herb Baumeister,United States,1990 to 1996,11–16,25+,Strangled gay men and buried their bodies in his backyard in Indiana and Ohio; 11 men were found in the yard but only five were identified. Committed suicide by shooting himself when faced with arrest.,['United States'],1,16,25.0,1990,1996,6
John Bunting,Australia,1992 to 1999,11,,Ringleader in the Snowtown murders (aka Bodies in the Barrels Murders); sentenced to 11 consecutive life sentences without the possibility of parole.,['Australia'],1,11,,1992,1999,7
Sergey Golovkin,"Soviet Union
Russia",1986 to 1992,11,40+,Killed at least 11 boys in the Moscow area between 1986 and 1992. Executed by gunshot in 1996; last person executed in Russia before the death penalty was abolished.,"['Soviet Union', 'Russia']",2,11,40.0,1986,1992,6
Juana Barraza,Mexico,late 1990s to 2006,11,29–49,Female wrestler who bludgeoned or strangled elderly women to rob them. Sentenced to 759 years.,['Mexico'],1,11,39.0,1990,2006,16
Zhang Yongming,China,2008 to 2012,11,17–20,Sold flesh of his victims as 'ostrich meat' and kept eyeballs in wine. Executed.,['China'],1,11,18.0,2008,2012,4
Jack Unterweger,"Austria
United States
Czechoslovakia",1974 to 1992,11,15,"Served 14 years in Austrian prison because of a murder in 1974; killed at least nine prostitutes after his release. Was a small media star in Austrian media in the early 1990s and, on behalf of Austrian police, was arrested in the US, where he may have killed another three prostitutes. Hanged himself in 1994 after being sentenced to life in prison.","['Austria', 'United States', 'Czechoslovakia']",3,11,15.0,1974,1992,18
Vaughn Greenwood,United States,1964 to 1975,11,13,"Known as the ""Skid Row Slasher"". Killed 11 people, suspected of two more. Cut victims' throats from ear to ear and may have drank their blood. Sentenced to imprisonment for life.",['United States'],1,11,13.0,1964,1975,11
Benjamin Atkins,United States,1991 to 1992,11,,"Known as ""The Woodward Corridor Killer"". Raped and strangled his victims before abandoning their bodies in vacant buildings. Died in prison in 1997, age 29, from AIDS.",['United States'],1,11,,1991,1992,1
Nannie Doss,United States,1927 to 1954,11,,"Responsible for 11 deaths between 1927 and 1954. Known as the ""Giggling Nanny"", the ""Giggling Granny"", and the ""Jolly Black Widow"". Sentenced to imprisonment for life. Died of leukemia in 1965, age 59.",['United States'],1,11,,1927,1954,27
Clifford Olson,Canada,1980 to 1981,11,,"Considered a dangerous offender, meaning that Olson could never have been released from prison. He had three parole applications rejected. Died from cancer in 2011.",['Canada'],1,11,,1980,1981,1
Henri Désiré Landru,France,1915 to 1919,11,,"Nicknamed ""Bluebeard"", he put notes in the lonely hearts section of newspapers under different aliases, presenting himself as a widower that wanted to marry a war widow. He killed at least 10 women and the teenage son of one of them, and burned their bodies after he had gained access to their assets. Executed by guillotine in 1922.",['France'],1,11,,1915,1919,4
West Mesa Killer,United States,2003 to 2005,11,,"Remains of 11 women, who disappeared between 2003 and 2005, were found buried in the desert in Albuquerque, New Mexico in 2009 and attributed to a bone collector.",['United States'],1,11,,2003,2005,2
Anthony Sowell,United States,2007 to 2009,11,,"Known as The Cleveland Strangler, he was convicted of killing 11 women between 2007 and 2009, and is suspected in another series of murders in the 1980s, with the two sets of killings separated by a 15-year stint in prison. Sentenced to death.",['United States'],1,11,,2007,2009,2
Andre Crawford,United States,1993 to 1999,11,,Murdered 11 women between 1993 and 1999. Sentenced to life in prison.,['United States'],1,11,,1993,1999,6
Francisco García Escalero,Spain,1987 to 1994,11,,"Known as ""The Killer Beggar"". A necrophilic, schizophrenic homeless man found insane and confined to a psychiatric hospital after killing 11 prostitutes and other homeless people between 1987 and 1994. Died in 2014.",['Spain'],1,11,,1987,1994,7
Robledo Puch,Argentina,1971,11,,Convicted of 11 murders and multiple other crimes including attempted murder and sexual assault. Sentenced to life imprisonment in 1980.,['Argentina'],1,11,,1971,1971,0
Adnan Çolak,Turkey,1992 to 1995,11,,Killed 11 elderly women aged 68 to 95 and raped six others. Sentenced to death but commuted to life in prison after Turkey abolished the death penalty in 2004.,['Turkey'],1,11,,1992,1995,3
Seisaku Nakamura,Japan,1938 to 1942,11,,"Teenage serial killer known as the ""Hamamatsu Deaf Killer"" for having been born deaf. Murdered 11 people (including his brother) and attacked many others, among them his father, sister, brother-in-law and nephew. Tried as an adult and executed by hanging.",['Japan'],1,11,,1938,1942,4
Very Idham Henyansyah,Indonesia,2008 and earlier,11,,"Known as the ""singing serial killer"" and ""Ryan"", the artistic name he adopted while awaiting his execution in prison, where he recorded an album and wrote his autobiography. ""Ryan"" confessed to murdering 11 people including a toddler; 10 of his victims were buried in his parents' home backyard while the last one was butchered and hidden in a suitcase. Sentenced to death.",['Indonesia'],1,11,,Unknown,2008,Unknown
Francisco de Assis Pereira,Brazil,1997 to 1998,11,,"Rapist and serial killer, known as ""O Maníaco do Parque"" (The Park Maniac). He was arrested for the torture, rape and death of 11 women and for assaulting nine in a park in São Paulo, Brazil during the 1990s. Pereira found his victims by posing as a talent scout for a modeling agency. Sentenced to 268 years.",['Brazil'],1,11,,1997,1998,1
Roshu Kha,Bangladesh,2008,11,,Raped and murdered garment workers after being rejected by his lover. Sentenced to death.,['Bangladesh'],1,11,,2008,2008,0
Gao Chengyong,China,1998 to 2002,11,,"Known as ""Chinese Jack the Ripper""; killed women and then mutilated their corpses. Executed in 2019.",['China'],1,11,,1998,2002,4
Marie Alexandrine Becker,Belgium,1933 to 1936,11,,Poisoned wealthy clients while working as a seamstress. Died in prison in 1942.,['Belgium'],1,11,,1933,1936,3
