Name,Country,Years active,Proven victims,Possible victims,Notes,Countries_active,Countries_num,Proven_victims,Possible_victims,Start_year,Finish_year,Active_years
Ruslan Khamarov,Ukraine,2000 to 2003,11,,"Seduced, raped and then killed women in his home; sentenced to life imprisonment.",['Ukraine'],1,11,,2000,2003,3
Yevgeny Petrov,Russia,1998 to 2003,11,,"Known as the ""Novouralsk Ripper""; pedophile who kidnapped, raped and killed young girls around Novouralsk, mutilating and burning their corpses afterwards; sentenced to life imprisonment.",['Russia'],1,11,,1998,2003,5
Rudolf Pleil,West Germany,1946 to 1947,10,25,"Known as Der Totmacher (""The Deadmaker""). Convicted of killing a salesman and nine women. Claimed to have killed 25. Committed suicide by hanging in 1958.",['West Germany'],1,10,25.0,1946,1947,1
Milton Johnson,United States,1983,10,17,"Known as ""The Weekend Murderer"" killed up to 17 people. Sentenced to life without parole.",['United States'],1,10,17.0,1983,1983,0
Long Island serial killer,United States,1996 to 2011,10,14,"Unidentified serial killer also known as ""The Gilgo Beach Killer"". Believed to have murdered 10 to 14 people associated with the sex trade over a period of 15 years.",['United States'],1,10,14.0,1996,2011,15
Daniel Lee Siebert,United States,1979 to 1986,10,13,Convicted of a 1979 manslaughter; killed 10 people across America in three months in mid-1980s including two children and a Southside Slayer victim. Sentenced to death; died from cancer in prison in 2008.,['United States'],1,10,13.0,1979,1986,7
Lonnie David Franklin Jr.,United States,1985 to 2007,10,25,"Known as the ""Grim Sleeper"" for the alleged 14-year hiatus he took from murdering between 1988 and 2002. Shot and strangled his victims, mostly women, around South Los Angeles. Sentenced to death.",['United States'],1,10,25.0,1985,2007,22
Sergey Cherny,Russia,1999,10,11,Strangled women around Smolensk; suspected of the drowning death of another woman; died in 2001 from pneumonia while in a special psychiatric hospital.,['Russia'],1,10,11.0,1999,1999,0
Bobby Joe Long,United States,1984,10,10+,"Known as ""The Classified Ad Rapist""; killed 10 women in Tampa Bay, Florida in 1984. Sentenced to death. Executed by lethal injection on 23 May 2019.",['United States'],1,10,10.0,1984,1984,0
Stewart Wilken,South Africa,1990 to 1997,10,10+,"Known as ""Boetie Boer""; raped, sodomised and murdered 10 victims from 1990 to 1997. Sentenced to seven life terms.",['South Africa'],1,10,10.0,1990,1997,7
David Randitsheni,South Africa,2004 to 2008,10,10+,"Kidnapped 19 people, raped 17, and murdered 10. Sentenced to 16 consecutive life sentences plus 220 years in prison; hanged himself three weeks after conviction.",['South Africa'],1,10,10.0,2004,2008,4
Edmund Kemper,United States,1964 to 1973,10,,"Called ""The Co-ed Butcher."" At age 15, he confessed to murdering his grandparents and served six years as a criminally insane juvenile. He was released in 1969. In 1972 and 1973, he murdered and dismembered six young women, then killed his mother and her friend. He was sentenced to eight counts of seven years to life.",['United States'],1,10,,1964,1973,9
Dennis Rader,United States,1974 to 2004,10,,"Known as the BTK Killer. Murdered 10 people in Sedgwick County (in and around Wichita), Kansas, between 1974 and 1991. Sentenced to life imprisonment with no parole for 175 years.",['United States'],1,10,,1974,2004,30
Ali Kaya,Turkey,1997 to present,10,,"Known as ""the baby faced killer""; responsible for 10 murders. Escaped from prison and later recaptured.",['Turkey'],1,10,,1997,2023,26
Robert Wagner,Australia,1992 to 1999,10,,Secondary ringleader in the Snowtown murders and best friend of John Justin Bunting; sentenced to 10 consecutive life sentences without the possibility of parole.,['Australia'],1,10,,1992,1999,7
Jeanne Weber,France,1905 to 1908,10,,Transient baby-sitter who strangled children in her care. Declared insane. Hanged herself in prison in 1918.,['France'],1,10,,1905,1908,3
Henry Louis Wallace,United States,1990 to 1994,10,,"Confessed to 10 murders in Charlotte, North Carolina. The victims were all women that he knew. Sentenced to death.",['United States'],1,10,,1990,1994,4
Angelo Buono Jr.,United States,1977 to 1979,10,,"Convicted of strangling 10 women. One of the ""Hillside Stranglers"". Died in prison from a heart attack in 2002.",['United States'],1,10,,1977,1979,2
Satish,India,1995 to 1998,10,,"Killed 10 girls who were between the ages of five and nine. He was arrested from Bahadurgargh, Haryana after a long chase by Haryana police.",['India'],1,10,,1995,1998,3
Zhou Kehua,China,2004 to 2012,10,,"A former soldier who targeted ATM users. He killed 10 people and evaded the law for eight years, before being shot in a shootout with police after a year-long manhunt.",['China'],1,10,,2004,2012,8
Kang Ho-sun,South Korea,2006 to 2008,10,,"Sentenced to death in 2010 for killing 10 women, including his wife and mother-in-law.",['South Korea'],1,10,,2006,2008,2
Eduard Shemyakov,Russia,1996 to 1998,10,,"Known as the ""Resort Maniac""; Ukrainian who raped, killed and dismembered women in St. Petersburg, supposedly cannibalizing one of the victims; sentenced to compulsory treatment.",['Russia'],1,10,,1996,1998,2
Oleg Kuznetsov,"Soviet Union
Russia
Ukraine",1991 to 1992,10,,"Robbed, raped and killed people around Russia and Ukraine; sentenced to death but commuted to life imprisonment.","['Soviet Union', 'Russia', 'Ukraine']",3,10,,1991,1992,1
Stanislav Rogolev,Soviet Union,1980 to 1982,10,,"Known as ""Agent 000""; killed and raped women, managing to avoid capture through suspected knowledge of the investigation against him; executed by firing squad in 1984.",['Soviet Union'],1,10,,1980,1982,2
Volker Eckert,"East Germany
Germany
France
Spain
Czech Republic (suspected)
Italy (suspected)",1974 to 2006,9–13,19+,"German trucker who confessed to having abducted, tortured and killed five prostitutes through his route in Western Europe, plus strangling a 14-year-old girl in his native West Germany in 1974, when he was 15. Police considered him perpetrator of nine murders (with four more being possible); he hanged himself in prison before being convicted.","['East Germany', 'Germany', 'France', 'Spain', 'Czech Republic (suspected)', 'Italy (suspected)']",6,13,19.0,1974,2006,32
Louis van Schoor,South Africa,1986 to 1989,9,100,"Former security guard who was convicted of seven murders and two assassinations, but confessed to a reporter that he murdered 100 people; sentenced to 20 years in prison and released on parole in 2004.",['South Africa'],1,9,100.0,1986,1989,3
Peter Kürten,"German Empire
Germany",1913 to 1930,9,79,"Charged with nine murders and seven attempted murders. Dubbed ""The Vampire of Düsseldorf"" by the contemporary media. Executed by guillotine in 1931.","['German Empire', 'Germany']",2,9,79.0,1913,1930,17
Roger Dale Stafford,United States,1974 to 1978,9,34,"Killed nine people in two states, including a family of three; his wife implicated him in 34 total murders in different states; executed by lethal injection in 1995.",['United States'],1,9,34.0,1974,1978,4
Norman Afzal Simons,South Africa,1986 to 1994,9,22,"Known as the ""Station Strangler"", convicted of only one of 22 cases of murder and sodomy of young children near Cape Town. Sentenced to imprisonment for life.",['South Africa'],1,9,22.0,1986,1994,8
Francis Heaulme,France,1984 to 1992,9,20,"Convicted of killing nine people, but suspected in the murder of dozens. He is known as the ""Criminal Backpacker"" due to his travels throughout France. He left a trail of bodies wherever he went.",['France'],1,9,20.0,1984,1992,8
Joel Rifkin,United States,1989 to 1993,9,17,"Known as ""The Drifter"", killed prostitutes in New York City, most of them drug addicts. Convicted of nine murders but believed to have committed 17; also suspected of being the unidentified Long Island serial killer. Sentenced to 203 years to imprisonment for life.",['United States'],1,9,17.0,1989,1993,4
Dagmar Overbye,Denmark,1913 to 1920,9,15,"Murdered between nine and 25 children—of which one was her own—during a seven-year period. In 1921, she was sentenced to death in one of the most talked about trials in Danish history, that changed legislation on childcare. The sentence was later commuted to life in prison. Overbye was working as a professional child minder, caring for babies born outside of marriage, murdering her charges. She strangled them, drowned them or burned them to death in her masonry heater. The corpses were either cremated, buried or hidden in the loft. Died in prison in 1929.",['Denmark'],1,9,15.0,1913,1920,7
Kenneth McDuff,United States,1966 to 1992,9,14+,"Known as ""The Broomstick Killer""; death sentence for 1966 triple-murder was commuted. Killed again three days after 1989 parole and 10 further times in Waco, Texas until 1992. Executed by lethal injection in 1998.",['United States'],1,9,14.0,1966,1992,26
Robert Joseph Silveria Jr.,United States,1981 to 1996,9,14+,"Known as ""The Boxcar Killer""; freight train rider convicted of beating to death fellow transients and confessed to dozens more.",['United States'],1,9,14.0,1981,1996,15
Richard Biegenwald,United States,1958 to 1983,9,11+,"Known as ""The Thrill Killer"". Killed at least nine people in Monmouth County, New Jersey and is suspected in at least two other murders. Died of respiratory and kidney failure in 2008.",['United States'],1,9,11.0,1958,1983,25
Alexander Bychkov,Russia,2009 to 2012,9,11,Described in his personal diary how he killed 11 men who were alcoholics and tramps. Confessed to eating body parts of his victims. Found guilty of nine murders and sentenced to life imprisonment.,['Russia'],1,9,11.0,2009,2012,3
New Bedford Highway Killer,United States,1988 to 1989,9,11,Unidentified serial killer who killed nine women and disappearance of two others between 1988 and 1989.,['United States'],1,9,11.0,1988,1989,1
Maryvale serial shooter,United States,2015 to 2016,9,11,"Motorist who shot 12 people in separate events in Phoenix, Arizona, killing nine. Aaron Saucedo was charged with the shootings and two additional murders in 2017.",['United States'],1,9,11.0,2015,2016,1
Viktor Fokin,Russia,1996 to 2000,9,10+,"Known as the ""Grandfather Ripper""; pensioner who lured, killed and then dismembered prostitutes and alcohol abusers in his home, disposing of the remains in garbage containers after; died while imprisoned at a corrective labor colony.",['Russia'],1,9,10.0,1996,2000,4
Timothy Krajcir,United States,2000 to 2009,9,,"Killed nine women across Pennsylvania, Illinois, Kentucky and Missouri (five in Cape Girardeau) in the 1970s and 1980s.",['United States'],1,9,,2000,2009,9
Edgecombe County Serial Killer,United States,2000 to 2009,9,10,"Unidentified serial killer who killed nine women and possibly another who disappeared since 2005 around Rocky Mount, North Carolina. Antwan Pittman was convicted in one case.",['United States'],1,9,10.0,2000,2009,9
Eric Edgar Cooke,Australia,1958 to 1963,8,,"Known as the ""Night Caller"" and later the ""Nedlands Monster""; killed at least eight people and attempted to kill at least fourteen in and around Perth between 1959 and 1963; he was last person to be hanged in Western Australia.",['Australia'],1,8,,1958,1963,5
Joseph Paul Franklin,United States,1977 to 1980,8–15,20,White supremacist shooter who confessed to 20 murders and several attempted murders. Executed by lethal injection in 2013.,['United States'],1,15,20.0,1977,1980,3
Yoshio Kodaira,"China
Japan",1928 to 1946,8–11+,,"A serial rapist, Kodaira killed his father-in-law in 1932 and eight to 10 women in Japan between 1945 and 1946, engaging in necrophilia after the fifth murder. Previously (1920s) he had been deployed to Northern China as a sailor in the Imperial Japanese Navy, where he was free to target the locals. Hanged in 1949.","['China', 'Japan']",2,11,,1928,1946,18
Keith Hunter Jesperson,United States,1990 to 1995,8,160,"Dubbed the ""Happy Face Killer"", Jesperson was convicted of killing eight women by strangulation.",['United States'],1,8,160.0,1990,1995,5
Rodney Alcala,United States,1971 to 1979,8,130+,"Known as the ""Dating Game Killer"" for appearing on the game show The Dating Game in the middle of his killing years. Was convicted of at least five murders, though his actual total is estimated to be much higher.",['United States'],1,8,130.0,1971,1979,8
Kiyotaka Katsuta,Japan,1982 to 1983,8,22,"Strangled or shot people to rob them, using a gun he had stolen from a policeman after running him over with his car. Hanged in 2000.",['Japan'],1,8,22.0,1982,1983,1
Pierre Chanal,France,1980 to 1988,8,17,Military instructor suspected of killing boys and men in Marne; committed suicide before trial.,['France'],1,8,17.0,1980,1988,8
Christopher Wilder,United States,1984,8,13+,Killed eight women during a spree before accidentally shooting himself; suspected in the disappearance and murder of more than five more.,['United States'],1,8,13.0,1984,1984,0
Axeman of New Orleans,United States,1918 to 1919,8,12+,Unidentified serial killer of at least eight people in the New Orleans area from May 1918 to October 1919.,['United States'],1,8,12.0,1918,1919,1
Vladimir Retunsky,Russia,1990 to 1996,8,12,"Known as the ""Povorinsky Maniac""; kidnapped, raped and killed hitchhikers in his hometown of Povorino, possibly abusing their corpses; initially sentenced to death, but later reduced to 15 years imprisonment and released in 2015.",['Russia'],1,8,12.0,1990,1996,6
Gilbert Paul Jordan,Canada,1965 to 1987,8,10,"Known as the ""Boozing Barber"", he would typically find alcoholic women in bars in Vancouver's destitute Downtown Eastside, buy them drinks or pay them for sex and encourage them to drink with him. When they passed out, he would pour more liquor down their throats. The resulting deaths were reported as alcohol poisoning and generally ignored by police as the intentional murders blended in with the common occurrence in that neighbourhood. Died in 2006.",['Canada'],1,8,10.0,1965,1987,22
Bruce McArthur,Canada,2010 to 2017,8,,"One of the oldest known serial killers, active at 65, he lured men to secret sexual encounters involving drugs and bondage, killed them and dismembered their bodies which he hid in garden planters.",['Canada'],1,8,,2010,2017,7
Elizabeth Wettlaufer,Canada,2007 to 2018,8,,"Confessed to murdering eight senior citizens and attempting to murder six others in southwestern Ontario. With a total of fourteen victims either killed or injured by her actions, she is described as one of the worst serial killers in Canadian history.",['Canada'],1,8,,2007,2018,11
Nikolai Dzhumagaliev,Soviet Union,1980 and earlier,7,50–100,Lured women in a park at night and hacked them with an axe as part of a plan to rid the world of prostitution. Also cooked parts of his victims and ate them himself or served them to other people as part of ethnic dishes. Found innocent by reason of insanity and interned in a mental institution.,['Soviet Union'],1,7,75.0,Unknown,1980,Unknown
Manuel Delgado Villegas,"Spain
France (claimed)
Italy (claimed)",1964 to 1971,7,48,"Wandering criminal known as El Arropiero (""The Arrope Trader"") and El Estrangulador del Puerto (""The Strangler of Puerto""). Confessed to the impulsive murders of 48 people of different sex, age, wealth and sexual orientation in three countries (including his girlfriend, whom he strangled during sex), but police only investigated him for 22 murders in Spain and was considered proven author of seven. Some of his victims were killed with hand to hand combat techniques that he had learned in the Spanish Foreign Legion. Diagnosed with XYY syndrome and interned in a mental institution until his death in 1998.","['Spain', 'France (claimed)', 'Italy (claimed)']",3,7,48.0,1964,1971,7
Ershad Sikder,Bangladesh,1991 to 1999,7,43+,Career criminal and corrupt politician responsible for numerous torture murders in the 1990s; convincted on seven counts and executed 2004.,['Bangladesh'],1,7,43.0,1991,1999,8
Ivan Milat,Australia,1990 to 1999,7,23–37,Convicted of the Backpacker murders; sentenced to seven consecutive life sentences plus 18 years without the possibility of parole. May have had accomplices.,['Australia'],1,7,30.0,1990,1999,9
Michael Wayne McGray,"Canada
United States",1980s to 2010s,7,18,"Convicted of the murder of six people in the late 1990s, including a woman and her 11-year-old daughter. Claims to have killed 11 others, including murders committed while on parole and while on a three-day pass from prison. Finally imprisoned for life, killed a cellmate in 2010.","['Canada', 'United States']",2,7,18.0,1980,2010,30
Kenneth Erskine,United Kingdom,1986,7,11,"Known as ""The Stockwell Strangler"", he was a burglar who raped and strangled at least seven elderly women after breaking into their homes.",['United Kingdom'],1,7,11.0,1986,1986,0
David Carpenter,United States,1979 to 1981,7,11,"Known as ""The Trailside Killer""; murdered women on San Francisco-area hiking trails between 1979 and 1981. Sentenced to death.",['United States'],1,7,11.0,1979,1981,2
Vladimir Kuzmin,Russia,1997,7,11,"Raped, murdered and robbed mostly young boys and men in Moscow; assisted in his first two murders by Denis Kalistratov; sentenced to life imprisonment.",['Russia'],1,7,11.0,1997,1997,0
Tommy Recco,France,1960 to 1980,7,10,"Murdered his godfather in 1960; after release, killed six cashiers in two separate store raids; also suspected of murdering a trio of German tourists.",['France'],1,7,10.0,1960,1980,20
Todd Kohlhepp,United States,2003 to 2016,7,7,"A registered sex offender; Shot up a motorcycle shop in 2003, killing 4; killed 3 more victims in 2015 and 2016; is currently serving 7 life sentences for the crimes.",['United States'],1,7,7.0,2003,2016,13
Ohio Prostitute Killer,United States,1981 to 2004,7,10,"Supposedly murdered prostitutes and exotic dancers; his first victim was Marcia King, who was identified in 2018.",['United States'],1,7,10.0,1981,2004,23
Derrick Todd Lee,United States,2002,7,10,"Known as the ""Baton Rouge or South Louisiana Serial Killer"" convicted of three murders. Believed to have murdered several other women in Louisiana, Mississippi and Alabama. Sentenced to death, died in 2016.",['United States'],1,7,10.0,2002,2002,0
Tomás Maldonado Cera,Colombia,2002 to 2018,7,10,"Known as ""The Satanist""; killed people in Barranquila for the purpose of satanic rituals.",['Colombia'],1,7,10.0,2002,2018,16
Aileen Wuornos,United States,1989 to 1990,7,,Sex worker that shot her victims at point blank range.,['United States'],1,7,,1989,1990,1
Nikos Metaxas,Cyprus,2016 to 2018,7,,"A 35-year-old Cypriot Army officer who killed five women and two children between September 2016 and August 2018. These became known as the ""Mitsero murders."" Sentenced to 7 life sentences.",['Cyprus'],1,7,,2016,2018,2
David Berkowitz,United States,1976 to 1977,6,,"Known as ""Son of Sam"", he went after young women and couples killing 6 people and wounding 7 others with a .44 caliber Bulldog revolver. He was caught when an eyewitness to his last murder saw he had a parking ticket on his car. He was sentenced to life in prison with parole in 1978.",['United States'],1,6,,1976,1977,1
Richard Chase,United States,1977 to 1978,6,,"Known as ""The Vampire of Sacramento"" because he drank his victims' blood and cannibalized their remains. He killed six people in the span of a month in Sacramento, California. The 1987 film Rampage was loosely based on based on Chase's crimes.",['United States'],1,6,,1977,1978,1
Tommy Lynn Sells,United States,1980 to 1999,6,70?,Drifter active throughout the United States who specialized in killing children and multiple victims after breaking into their homes. Caught when a 10-year-old girl survived his attack and provided a description of him. Executed in 2014.,['United States'],1,6,70.0,1980,1999,19
Władysław Mazurkiewicz,Poland,1950 to 1959,6,30,"Known as ""The Gentleman Killer"". Indicted of, and confessed to having committed 30 murders; convicted of six and hanged in 1957.",['Poland'],1,6,30.0,1950,1959,9
Gong Runbo,China,2005 to 2006,6,20+,Found guilty of the murders of six children and teenagers aged between nine and 16 from 2005 to 2006; executed in 2007.,['China'],1,6,20.0,2005,2006,1
Cristopher Chávez Cuellar,Colombia,1990s to 2015,6,15+,"Known as ""The Soulless""; killed between 6 and at least 15 people starting from the 1990s, including 4 underage brothers; sentenced to 40 years imprisonment.",['Colombia'],1,6,15.0,1990,2015,25
András Pándy,Belgium,1986 to 1990,6,14+,"Former clergyman nicknamed ""Father Bluebeard"", killed his two wives and four of his children with the help of a fifth he was having an incestuous affair with, and whom denounced him to the authorities seven years later. Sentenced to life imprisonment in 2002.",['Belgium'],1,6,14.0,1986,1990,4
John Wayne Glover,Australia,1989 to 1990,6,13,"British ex-pat living in Australia. Known by the media as ""The Granny Killer"" as he targeted elderly women; committed suicide while in prison in 2005.",['Australia'],1,6,13.0,1989,1990,1
Alexander Sergeychik,Belarus,2000 to 2006,6,12,Killed between six and 12 people under the influence of alcohol. Executed in 2007.,['Belarus'],1,6,12.0,2000,2006,6
Adrián Arroyo Gutiérrez,Costa Rica,2014 to 2015,6,11,"Known as ""The Southern Psychopath""; raped and strangled drug-addicted prostitutes in San José; sentenced to 110 years imprisonment.",['Costa Rica'],1,6,11.0,2014,2015,1
Joseph Naso,United States,1977 to 1994,6,10,"A freelance photographers who raped and strangled to death women in California. Arrested in 2011 and sentenced to death two years later. Known as ""The Double Initial Killer"" since first four victims to be identified bore double initials.",['United States'],1,6,10.0,1977,1994,17
Terry Peder Rasmussen,United States,1978 to 2002,6,6+,"Known as the ""Chameleon Killer""; main suspect in the Bear Brook murders, as well as other murders.",['United States'],1,6,6.0,1978,2002,24
Richard Cottingham,United States,1977 to 1980,5,85–100,"Killer operating in New York and New Jersey who often targeted prostitutes and utilized mutilation as well as dismemberment in his killings. Known as the ""Torso Killer"", convicted of five murders. He made claims of victim count as up to a hundred, however, there was no evidence to support this and is considered unsubstantiated.",['United States'],1,5,92.0,1977,1980,3
Zodiac Killer,United States,1962 to 1977,5,37,Targeted young couples. Remains unsolved but open in the California jurisdictions where the five certain Zodiac murders occurred. Potentially 37 total victims claimed but unverified.,['United States'],1,5,37.0,1962,1977,15
John Floyd Thomas Jr.,United States,1957 to 2009,5,17–25,Serial murderer and rapist with one of the longest criminal careers in the US.,['United States'],1,5,21.0,1957,2009,52
Carl Panzram,"United States
 Portuguese Angola",1915 to 1929,5,22,"From 1920 to 1928, he claimed in a posthumous autobiography to have committed over 22 killings, and sodomy of more than 1000 young men. Executed in 1930 by hanging.","['United States', ' Portuguese Angola']",2,5,22.0,1915,1929,14
Steve Wright,United Kingdom,2006,5,5–22,"Referred to as ""Suffolk murders"", ""Ipswich murders"", ""Ipswich Ripper"", ""Suffolk Ripper"", ""Suffolk Strangler"", ""East Anglia Ripper"", ""Red Light Ripper"" and ""the Suffolkator"". Murdered five prostitutes, all of whom worked in Ipswich in 2006. There are possible links to previous East Anglia prostitute killings.",['United Kingdom'],1,5,14.0,2006,2006,0
Michel Peiry,"Switzerland
France
United States
Yugoslavia (suspected)
Italy (suspected)",1981 to 1987,5,11,"Known as the ""Sadist of Romont""; Swiss soldier who sexually abused and murdered at least 5 hitchhikers in several countries; sentenced to life imprisonment.","['Switzerland', 'France', 'United States', 'Yugoslavia (suspected)', 'Italy (suspected)']",5,5,11.0,1981,1987,6
Hubert Pilčík,Czechoslovakia,1948 to 1951,5,10+,"Made money smuggling people across the Czechoslovakia-Germany border, but killed most of his customers. Total number of his victims is unknown.",['Czechoslovakia'],1,5,10.0,1948,1951,3
Thomas Dillon,United States,1989 to 1992,5,,Killed outdoorsmen in rural Ohio by sniping them from afar with a hunting rifle.,['United States'],1,5,,1989,1992,3
Joe Metheny,United States,1976 to 1996,5,10,"Butchered his victims, then served them at BBQs at his roadside stand; died in prison.",['United States'],1,5,10.0,1976,1996,20
Sek Kim Wah,Singapore,30 June 1983 to 23 July 1983,5,,"Sek Kim Wah, who was of Chinese Singaporean descent, was 19 years old when he killed five victims in two separate robbery cases, using raffia string to strangle them. Other methods employed were hitting their heads with a heavy object (like a wooden stool) and electrocution (which was unsuccessful). He robbed and killed a couple before abandoning their corpses at Seletar Reservoir on 30 June 1983 and then, on 23 July 1983, killed three more people at Andrew Road. He was arrested and indicted for murder six days later and was sentenced to death on 14 August 1985; he lost an appeal and he was hanged on 9 December 1988.",['Singapore'],1,5,,1983,1983,0
Karl Denke,Germany,1900 to 1924,30,42+,"Killed and cannibalized poor travelers and homeless vagrants. Kept a ledger recording his murders with at least 31 names in it (including Vincenz Olivier, his only surviving victim), thus confirming at least 30 victims. But due to the massive amount of human remains found in his apartment, his kill count is suspected by many to exceed 42 victims. Committed suicide by hanging himself in his holding cell before he could be tried.",['Germany'],1,30,42.0,1900,1924,24
Francisco das Chagas Rodrigues de Brito,Brazil,1989 to 2003,30,42,"Pedophile who sexually abused, murdered and mutilated children in Maranhão and Pará; sentenced to 217 years imprisonment.",['Brazil'],1,30,42.0,1989,2003,14
Luis Gregorio Ramírez Maestre,Colombia,2010 to 2013,30,30,Killed motorists in various municipalities before his 2012 capture. Was sentenced to 34 years in prison.,['Colombia'],1,30,30.0,2010,2013,3
David Thabo Simelane,Swaziland,2000 to 2001,28,45,"Sexually assaulted women he befriended in forests, stabbing or strangling them afterward; sentenced to death.",['Swaziland'],1,28,45.0,2000,2001,1
Zhang Jun,China,1993 to 2000,28,28,"Robbed 22 stores in several Chinese provinces, killing 28 people in the process. Executed in 2001.",['China'],1,28,28.0,1993,2000,7
Cedric Maake,South Africa,1996 to 1997,27,35+,"Known as the ""Wemmer Pan Killer"" and ""Hammer Killer"". He killed his victims with different instruments such as guns, rocks, a knife, and a hammer. Authorities attributed the murders to two serial killers because of the inconsistent modus operandi. In some cases he killed his victims with a rock, in others he shot them, and in others he murdered tailors with a hammer. Maake was arrested after Moses Sithole was found guilty of 38 killings and sentenced to 1,340 years in prison.",['South Africa'],1,27,35.0,1996,1997,1
Mariam Soulakiotis,Greece,1939 to 1951,27,27+,"Known as ""The Woman Rasputin""; convent abbot believed to have murdered wealthy women and children who came into her church; the true number of her victims is a matter of debate. Her trial cites that she murdered 27 and killed an additional 150 children through neglect. Was sentenced to life and died in 1954.",['Greece'],1,27,27.0,1939,1951,12
Bruce George Peter Lee,United Kingdom,1973 to 1979,26,26,"Epileptic arsonist who killed people in the city of Hull; sentenced to life imprisonment, but was later institutionalized.",['United Kingdom'],1,26,26.0,1973,1979,6
The Stoneman,India,1985 to 1989,25,25+,"12 homeless people were murdered in their sleep in Bombay between 1985 and 1987, and 13 in Calcutta in 1989—in all cases, by dropping a large rock over their head (an additional victim escaped, but could not identify the attacker). No one was ever charged with any of the murders.",['India'],1,25,25.0,1985,1989,4
Juan Corona,United States,1971,25,25+,Corona was convicted of murdering ranch laborers and burying them in orchards. He was sentenced to 25 terms life imprisonment. Died from natural causes in 2019.,['United States'],1,25,25.0,1971,1971,0
Fritz Haarmann,Germany,1918 to 1924,24,27+,"Also known as the Butcher of Hanover and the Vampire of Hanover, because of his preferred method of killing by biting through his victim's throat, sometimes while sodomizing them. He would then dump the bodies in the nearby river Leine. Believed to have been responsible for the murder of 27 boys and young men, he was convicted, found guilty of 24 murders and executed by guillotine in 1925.",['Germany'],1,24,27.0,1918,1924,6
Béla Kiss,Austria-Hungary,1912 to 1916,24,24+,"Evaded arrest and conviction after the discovery of 24 bodies hidden in large metal drums on his property in 1916. At that time he was serving in the Austro-Hungarian Army, and deserted when the military was notified of the murders by civilian authorities. His final whereabouts and fate are unknown, as is his final victim count.",['Austria-Hungary'],1,24,24.0,1912,1916,4
Majid Salek Mohammadi,Iran,1981 to 1985,24,24,"Killed mainly women he considered unfaithful to their husbands, sometimes the children accompanying them too; committed suicide before he could be sentenced.",['Iran'],1,24,24.0,1981,1985,4
Yvan Keller,"France
Germany (suspected)
Switzerland (suspected)",1989 to 2006,23,150,"Known as the ""Pillow Killer""; killed and robbed old women in France's Alsace region, but also confessed to up to 150 murders, including in Germany and Switzerland; committed suicide before trial.","['France', 'Germany (suspected)', 'Switzerland (suspected)']",3,23,150.0,1989,2006,17
