Name,Country,Years active,Proven victims,Possible victims,Notes,Countries_active,Countries_num,Proven_victims,Possible_victims,Start_year,Finish_year,Active_years
Ronald Dominique,United States,1997 to 2006,23,23+,"Louisianian serial killer, known locally as the Bayou Strangler and murdered victims in the Terrebonne Parish, Lafourche Parish, Iberville Parish and Jefferson Parish. Sentenced to eight life terms.",['United States'],1,23,23.0,1997,2006,9
Juan Fernando Hermosa,Ecuador,1991 to 1992,23,23,"Known as ""Niño del Terror""; youth gang leader who murdered mostly taxi drivers and homosexuals in Quito; murdered on his 20th birthday by unknown assailants.",['Ecuador'],1,23,23.0,1991,1992,1
Earle Nelson,"United States
Canada",1926 to 1927,22,25,"Necrophiliac who primarily targeted boarding house landladies on the US West Coast during 1926; he was also known as ""Gorilla Killer"" or ""the Dark Strangler"". Captured after two murders in a small (now ghost) town in southern Manitoba. Found guilty, hanged by Canadian authorities in January 1928.","['United States', 'Canada']",2,22,25.0,1926,1927,1
Mikhail Novosyolov,"Soviet Union
Russia
Tajikistan",1977 to 1995,22,22,"Known as the ""Necrophile Rebel""; killed his victims with blows from heavy objects, then had sexual intercourse with their corpses; sentenced to civil commitment.","['Soviet Union', 'Russia', 'Tajikistan']",3,22,22.0,1977,1995,18
Manuel Octavio Bermúdez,Colombia,1999 to 2003,21,50+,"Colombian pedophile and serial killer. Known as ""El Monstruo de los Cañaduzales"" (The Monster of the Cane Fields). He confessed to killing 21 children in remote areas of Colombia. Sentenced to 40 years in prison.",['Colombia'],1,21,50.0,1999,2003,4
Patrick Kearney,United States,1965 to 1977,21,43+,"Would pick up young male hitch-hikers or young men from gay bars near Redondo Beach, California, and kill them. Sentenced to imprisonment for life.",['United States'],1,21,43.0,1965,1977,12
William Bonin,United States,1979 to 1980,21,36+,"Bonin and three accomplices are known to have murdered a minimum of 21 youths aged between 12 and 19 in and around Los Angeles. As the majority of his victims were discarded alongside various southern California freeways, Bonin became known as the Freeway Killer. Convicted of 14 of the freeway murders, he was executed by lethal injection in 1996.",['United States'],1,21,36.0,1979,1980,1
Vasile Tcaciuc,Romania,1917 to 1935,21,26+,Romanian man who lured victims and then murdered them with an axe. He was arrested in 1935 after a dog found a dead body in his house. He confessed to having committed at least 26 murders. He was shot dead by a policeman while trying to escape from prison.,['Romania'],1,21,26.0,1917,1935,18
Yoo Young-chul,South Korea,2003 to 2004,21,26,"Used a hammer to murder mostly older victims, until his focus shifted to the decapitation and mutilation of escorts after being dumped by a girlfriend who worked in that profession. Was sentenced to death and currently incarcerated.",['South Korea'],1,21,26.0,2003,2004,1
Francisco Guerrero Pérez,Mexico,1880 to 1908,21,21,"Known as ""El Chaquero""; the first captured serial killer in Mexico, who killed prostitutes in Mexico City; died in 1910 from cerebral thromboembolism and another, unspecified cause.",['Mexico'],1,21,21.0,1880,1908,28
Abdullah Shah,Afghanistan,1990 to 1999,20,20+,Killed travelers on the road from Kabul to Jalalabad serving under Zardad Khan. Also killed his wife. Executed by gunshot in 2004.,['Afghanistan'],1,20,20.0,1990,1999,9
José Paz Bezerra,Brazil,1960s to 1970s,20,20+,"Known as the ""Morumbi Monster""; sexually violated, tortured and then murdered at least 20 women in São Paulo and Pará; sentenced to 30 years imprisonment and later released in 2001.",['Brazil'],1,20,20.0,1960,1970,10
Bulelani Mabhayi,South Africa,2007 to 2012,20,20,"Known as the ""Monster of Tholeni""; killed women and children in the village of Tholeni; sentenced from 25 years to life imprisonment.",['South Africa'],1,20,20.0,2007,2012,5
Mohan Kumar,India,2005 to 2009,20,20,"Lured female victims with promises of marriage and gave them cyanide, claiming they were contraceptive pills, Sentenced to death in 2013.",['India'],1,20,20.0,2005,2009,4
Alexander Spesivtsev,Russia,1991 to 1996,19,82+,"Cannibal known as ""The Novokuznetsk Monster""; admitted to 19 murders, but 82 bloody sets of clothes were found in his home, along with jewels and photographs of possibly unidentified victims. Found insane and interned in a mental hospital. His mother was sentenced to 16 years in prison for luring Spesivtsev's victims to their home.",['Russia'],1,19,82.0,1991,1996,5
Larry Eyler,United States,1982 to 1984,19,23+,"Known as ""The Interstate Killer""; sentenced to death for the 1984 murder and dismemberment of 15-year-old Daniel Bridges. He confessed to other homicides of young men and boys in five separate states. Died of AIDS complications in 1994.",['United States'],1,19,23.0,1982,1984,2
Surinder Koli,India,2005 to 2006,19,30+,"Between 2005 and 2006, a domestic servant of Indian businessman Moninder Singh Pandher, Surinder Koli, kidnapped, raped, murdered, and dismembered 19 people, mostly children. Convicted and sentenced to life.",['India'],1,19,30.0,2005,2006,1
El Psicópata,Costa Rica,1986 to 1996,19,19+,"(""The Psychopath"") Unidentified serial killer who killed 19 people with an M3 submachine gun in three Costa Rican towns, always south of the Florencio del Castillo Highway.",['Costa Rica'],1,19,19.0,1986,1996,10
Sergei Ryakhovsky,"Soviet Union
Russia",1988 to 1993,19,19+,"Known as the Balashikha Ripper, he was convicted for the murders of at least 19 victims. Died from tuberculosis in 2005.","['Soviet Union', 'Russia']",2,19,19.0,1988,1993,5
Yevgeny Chuplinsky,Russia,1998 to 2006,19,19+,"Known as the ""Novosibirsk Maniac""; killed prostitutes in Novosibirsk; despite extensive police search and the capture of another serial killer, he was only arrested in 2016; sentenced to life imprisonment.",['Russia'],1,19,19.0,1998,2006,8
M. Jaishankar,India,2008 to 2011,19,19+,"Accused of killing at least 19 women. Charged with 13 murders, he escaped during a trial transport. Killed eight more people in two months before he was recaptured. Sentenced to 27 years. Committed suicide by slashing his wrists with a shaving blade in prison on 27 February 2018.",['India'],1,19,19.0,2008,2011,3
Ansis Kaupēns,Latvia,1920 to 1926,19,19,Army deserter who committed 30 robberies and killed 19 people; one of the most infamous Latvian criminals; executed by hanging in 1927.,['Latvia'],1,19,19.0,1920,1926,6
Vadim Ershov,Russia,1992 to 1995,19,19,"Known as the ""Krasnoyarsk Beast""; committed 70 crimes around the Krasnoyarsk area, including 19 murders and eight attempted murders; sentenced to death, commuted to life imprisonment.",['Russia'],1,19,19.0,1992,1995,3
Velaphi Ndlangamandla,South Africa,1998,19,19,"Known as ""The Saloon Killer""; robber who murdered people around Mpumalanga in his crime spree; sentenced to 137 years imprisonment.",['South Africa'],1,19,19.0,1998,1998,0
Yavuz Yapıcıoğlu,Turkey,1994 to 2002,18,40+,Killed in various cities of Turkey. 18 murders proven and accused of more than 40 by eyewitnesses and relatives. Was sentenced to 74 years in prison.,['Turkey'],1,18,40.0,1994,2002,8
Paul John Knowles,United States,1974,18,35+,"Killed 18 people in various states in 1974. Claimed 35 murders. Known as the ""Casanova Killer""; shot dead by FBI agents.",['United States'],1,18,35.0,1974,1974,0
Thierry Paulin,France,1984 to 1987,18,21,"Known as ""The monster of Montmartre"". Killed and robbed elderly women. Died of AIDS in 1989 in prison before trial.",['France'],1,18,21.0,1984,1987,3
Randall Woodfield,United States,1979 to 1981,18,44,"Known as ""The I-5 Killer"" and ""The I-5 Bandit."" Suspected of as many as 44 murders. Sentenced to imprisonment for life.",['United States'],1,18,44.0,1979,1981,2
Umesh Reddy,India,1996 to 2002,18,18+,Confessed to 18 rapes and murders. Sentenced to death.,['India'],1,18,18.0,1996,2002,6
Christopher Mhlengwa Zikode,South Africa,1994 to 1995,18,18+,"Known as ""Donnybrook Serial Killer"" murdered 18 people in Donnybrook, KwaZulu Natal from 1994 to 1995. Was given 140 years (5 life sentences).",['South Africa'],1,18,18.0,1994,1995,1
Asande Baninzi,South Africa,2001,18,18,"Killed 18 people in three months, including a family of four; given 19 life sentences and 189 years of imprisonment.",['South Africa'],1,18,18.0,2001,2001,0
Huang Yong,China,2001 to 2003,17,25,"Lured and murdered 17 teenage boys, although he is suspected of 25 murders between September 2001 and 2003. Executed by firing squad in 2003.",['China'],1,17,25.0,2001,2003,2
Pedro Pablo Nakada Ludeña,Peru,2005 to 2006,17,25,"Known as ""El Apóstol de la Muerte"" (""The Apostle of Death""). Convicted of 17 murders and claimed 25. Sentenced to 35 years in prison.",['Peru'],1,17,25.0,2005,2006,1
Darbara Singh,India,2004,17,23,Sexually assaulted and then murdered children of non-Punjabi immigrants; died in 2018 from an illness while serving a life sentence.,['India'],1,17,23.0,2004,2004,0
Sergei Dovzhenko,Ukraine,1992 to 2002,17,19,"Killed people because they were ""mocking"" him; sentenced to life imprisonment.",['Ukraine'],1,17,19.0,1992,2002,10
Donato Bilancia,Italy,1997 to 1998,17,17,"Burglar who murdered 17 people, mainly prostitutes, between 1997 and 1998, during a six-month period. Known as the ""Prostitutes Killer"" and the ""Liguria Monster"". Sentenced to imprisonment for life.",['Italy'],1,17,17.0,1997,1998,1
Irina Gaidamachuk,Russia,2002 to 2010,17,17,"Known as ""Satan in a skirt"". Killed 17 elderly women between 2002 and 2010. Sentenced to 20 years in prison.",['Russia'],1,17,17.0,2002,2010,8
Randy Steven Kraft,United States,1971 to 1983,16,65–67,"Convicted of 16 counts of murder but left a cryptic ""score card"" referring to at least 65 victims. May have had an accomplice. Sentenced to death.",['United States'],1,16,66.0,1971,1983,12
Mohammed Bijeh,Iran,2004,16,20,"Raped and killed at least 16 boys and teenagers. Nicknamed the ""Tehran Desert Vampire"". Was convicted and executed after being lashed in front of a crowd in 2005.",['Iran'],1,16,20.0,2004,2004,0
Michel Fourniret,"France
Belgium",1987 to 2001,16,19,Known as the Ogre or Beast of Ardennes. He was caught after a failed kidnapping in 2003. Sentenced to life and died of respiratory problems while in prison in 2021.,"['France', 'Belgium']",2,16,19.0,1987,2001,14
Sipho Agmatir Thwala,South Africa,1996 to 1997,16,19,"Nicknamed the Phoenix Strangler after the area in which he committed his crimes; he raped and strangled 19 women; arrested, he was found guilty of 16 murders and sentenced to life.",['South Africa'],1,16,19.0,1996,1997,1
Saeed Hanaei,Iran,2000 to 2001,16,19,"Confessed to luring 16 prostitutes to his home and killing them in an attempt to ""cleanse"" the city of Mashhad. His actions were dubbed ""The Spider Murders"". Executed by hanging in 2002.",['Iran'],1,16,19.0,2000,2001,1
Jeffrey Dahmer,United States,1978 to 1991,16,17,Dahmer ate some of his victims and kept their body parts in his freezer. Was sentenced to life imprisonment; murdered in prison in 1994.,['United States'],1,16,17.0,1978,1991,13
José Antonio Rodríguez Vega,Spain,1987 to 1988,16,16+,"Nicknamed El Mataviejas (The Old Lady Killer), he raped and killed at least 16 elderly women, aged from 61 to 93 years old, in and around Santander, Cantabria. He went unrecognized for over a year because he moved his victims into their beds after they were killed; no autopsies were made and the deaths were attributed to natural causes. He also took trophies from his victims that he held in a particular room of his home; about 10 percent of these trophies remained unclaimed, implying the existence of other victims. He was stabbed to death by two inmates while incarcerated in 2002.",['Spain'],1,16,16.0,1987,1988,1
Elias Xitavhudzi,South Africa,1950 to 1959,16,16,"Nicknamed Panga man for his use of a machete (locally known as a ""panga""). He stabbed and robbed his victims between 1953 and 1959; arrested, he was executed by hanging in 1960.",['South Africa'],1,16,16.0,1950,1959,9
Jimmy Maketta,South Africa,2005,16,16,Pleaded guilty to and convicted of 16 murders and 19 rapes committed over the nine-month period of April to December 2005.,['South Africa'],1,16,16.0,2005,2005,0
Jack Mogale,South Africa,2008 to 2009,16,16,"Raped and strangled women in the Donnybrook area. Convicted of 16 murders and 19 rapes, nine kidnappings, robbery and assault.",['South Africa'],1,16,16.0,2008,2009,1
Robert Lee Yates,United States,1975 to 1998,16,16,"Killed prostitutes in the ""Skid Row"" area of E. Sprague Avenue in Spokane, Washington. Sentenced to 408 years in prison and two death sentences.",['United States'],1,16,16.0,1975,1998,23
Carroll Cole,United States,1948 to 1980,16,16,"Killed 16 people in California, Nevada, Texas. Executed by lethal injection in 1985.",['United States'],1,16,16.0,1948,1980,32
Charles Ray Hatcher,United States,1969 to 1982,16,16,"A habitual criminal, confessed to the rape and murder of over 20 young and adolescent males. Escaped from prison several times and was declared a ""manipulative institutionalized sociopath"". Sentenced to life; committed suicide by hanging himself in prison in 1984.",['United States'],1,16,16.0,1969,1982,13
Yuri Ivanov,Soviet Union,1974 to 1987,16,16,"Known as the ""Ust-Kamenogorsk Maniac""; Kazakhstani rapist who killed girls and women who spoke negatively of men; executed 1987.",['Soviet Union'],1,16,16.0,1974,1987,13
Vladimir Mirgorod,Russia,2003 to 2004,16,16,"Known as ""The Strangler""; raped and strangle women in Moscow, also killing one of the victims' son; sentenced to life imprisonment.",['Russia'],1,16,16.0,2003,2004,1
Lee Choon-jae,South Korea,1986 to 1994,15,,"Also known as the Hwaseong serial murders. Most of the victims were bound, gagged, and strangled to death with their own clothes. It sparked the largest criminal case in South Korea with two million officers mobilized and over 21,000 suspects investigated. A suspect was identified in 2019, but he could not be prosecuted due to the statute of limitations. He later confessed to killing 15 people, in addition to the murder of his sister-in-law.",['South Korea'],1,15,,1986,1994,8
Dorángel Vargas,Venezuela,1997 to 1999,15,,"Homeless cannibal known as ""The People Eater"" (El Comegente) and ""The Hannibal Lecter of the Andes"". Murdered a homeless man and was institutionalized. After escaping the institution, he went on to kill ten other men and was arrested. In 2016, he and several other inmates killed three others and Vargas fed their remains to them.",['Venezuela'],1,15,,1997,1999,2
Ravinder Kumar,India,2008 to 2015,15,30+,Serial rapist who killed children of poor families.,['India'],1,15,30.0,2008,2015,7
Atlanta Ripper,United States,1911,15,21,"Unidentified serial killer(s) who killed at least 15 Atlanta women in 1911, possibly as many as 21 in total.",['United States'],1,15,21.0,1911,1911,0
Robert Hansen,United States,1980 to 1983,15,21,"Prostitutes he kidnapped were released into the Alaskan wilderness for him to hunt down like animals. Based on discovered remains, police suspect him of six murders in addition to the 15 for which he was convicted. Sentenced to 461 years plus life. Died from unspecified health problems in 2014.",['United States'],1,15,21.0,1980,1983,3
Ángel Maturino Reséndiz,"United States
Mexico",1986 to 1999,15,18,"Known as the ""Railroad Killer"" because his killings were committed near the railroad tracks he used to traverse the country. He was charged with and/or confessed to 15 murders occurring from 1986 to 1999 in Texas, Florida, Illinois, Georgia, and Kentucky. He was also suspected in a 1997 California murder case and claimed two additional killings he refused to elaborate on. Executed by lethal injection in 2006.","['United States', 'Mexico']",2,15,18.0,1986,1999,13
Chester Turner,United States,1987 to 1998,15,15+,Convicted of killing 15 people in Los Angeles in the 1980s and 1990s. Sentenced to death.,['United States'],1,15,15.0,1987,1998,11
Elifasi Msomi,South Africa,1950s to 1956,15,15,Killed his victims with an axe or a knife in the 1950s; executed by hanging in 1956.,['South Africa'],1,15,15.0,1950,1956,6
Florencio Fernández,Argentina,1950 to 1959,15,15,"Stalked his victims, then would beat and bite them while they were asleep. Died from natural causes a few years after his 1960 arrest.",['Argentina'],1,15,15.0,1950,1959,9
Bai Baoshan,China,1983 to 1997,15,15,Robber who killed 15 people while robbing several police stations; executed by gunshot in 1998.,['China'],1,15,15.0,1983,1997,14
Maurizio Minghella,Italy,1978 to 2001,15,15,"Killed five prostitutes; imprisoned and released, after which he killed 10 more; sentenced to life imprisonment.",['Italy'],1,15,15.0,1978,2001,23
Alexander Labutkin,Soviet Union,1933 to 1935,15,15,"Known as the ""One-Armed Bandit""; killed people in the forest near the Prigorodny settlement using a revolver; executed 1935.",['Soviet Union'],1,15,15.0,1933,1935,2
Luis Garavito,"Colombia
Ecuador
Venezuela",1992 to 1999,138,172–300+,"Child-murderer, torture-killer, and rapist known as ""La Bestia"" (""The Beast""). Confessed to killing 140 boys between eight and 16 years old over a seven-year period in Colombia and neighboring countries. He is suspected of murdering over 300 victims, mostly street children. Garavito was originally sentenced to 1,853 years in prison, but this was later reduced to 22 years after he led police to many of the bodies of his victims. He is scheduled to become eligible for parole in 2023.","['Colombia', 'Ecuador', 'Venezuela']",3,138,236.0,1992,1999,7
Pedro López,"Colombia
Peru
Ecuador",1969 to 1979,110,300+,"Child-murderer and rapist, known as ""The Monster of the Andes"". Targeted young girls, between the ages of eight and 12. Arrested in 1980 and convicted in 1983 of killing three young girls, but claimed to have killed hundreds. Despite being believed to be one of the most prolific serial killers of the twentieth century, he was released in the late 1990s.","['Colombia', 'Peru', 'Ecuador']",3,110,300.0,1969,1979,10
Javed Iqbal,Pakistan,1998 to 1999,100,100,"Child-murderer and rapist, known as ""Kukri"", Iqbal murdered 100 street children by strangling them and covering up his crimes by dissolving the bodies with acid. He was arrested in 1999 thanks to a letter he sent to a newspaper, and was set to be executed in the manner described by the judge who stated, ""You will be strangled to death in front of the parents whose children you killed, Your body will then be cut into 100 pieces and put in acid, the same way you killed the children."" However, he died in custody before he could be executed.",['Pakistan'],1,100,100.0,1998,1999,1
Mikhail Popkov,Russia,1992 to 2010,83,83+,"Serial rapist-killer nicknamed ""The Werewolf"", who was active for two decades in Angarsk, Irkutsk and Vladivostok. After being convicted of 22 murders in 2015, he confessed to an additional 59 murders, of which he was convicted of 56 in 2018. In July 2020, Popkov confessed to more killings, bringing the total number of admitted victims to 83. Sentenced to life.",['Russia'],1,83,83.0,1992,2010,18
Daniel Camargo Barbosa,"Colombia
Ecuador
Brazil (alleged)",1974 to 1986,72,180,"Child and woman murderer, believed to have possibly raped and killed over 150 victims, primarily targeting female children as they were more likely to be virgins. Confessed to killing 72 victims. He strangled young girls in Colombia and was arrested, but he escaped from prison and he started killing in Ecuador; rearrested in 1986, he was incarcerated in the same Ecuadorian prison as 300+ serial killer Pedro López. Camargo was killed in jail by the nephew of one of his victims.","['Colombia', 'Ecuador', 'Brazil (alleged)']",3,72,180.0,1974,1986,12
Pedro Rodrigues Filho,Brazil,1967 to 2003,71,100+,"He claimed to have killed over 100 victims, 47 of them inmates. He also killed his father and ate a piece of his heart. He killed his first two victims at the age of 14; he was first arrested in 1973. Convicted and sentenced to 128 years, but the maximum one can serve in Brazil is 30 years. Was released in 2018.",['Brazil'],1,71,100.0,1967,2003,36
Kampatimar Shankariya,India,1977 to 1978,70,70+,"Indian serial killer who used a hammer to kill over 70 men and women between 1978 and 1979. Was hanged in 1979, his last words were, ""I have murdered in vain"", he declared. ""Nobody should become like me."".",['India'],1,70,70.0,1977,1978,1
Yang Xinhai,China,2000 to 2003,67,67,"Known as the ""Monster Killer"". Would enter victims' homes at night and kill using axes, meat cleavers, hammers, and shovels. Executed by gunshot in 2004.",['China'],1,67,67.0,2000,2003,3
Samuel Little,United States,1970 to 2005,60,93,"Was convicted of killing three women, but later investigations linked 31 other murders to him. Little is now thought to be America's most prolific serial killer. He claimed he killed as many as 93 victims total, three above his initial confession of 90, the FBI later confirmed a total of 50 murders linked to Little. The investigations into his crimes are ongoing.",['United States'],1,60,93.0,1970,2005,35
Giuseppe Greco,Italy,1981 to 1983,58,80-300,"During the Second Mafia War, from 1981 to 1983 committed dozens of murders, often with his favorite weapon, an AK-47. He was eventually convicted in absentia of 58 murders, but it is believed that he committed at least 80 murders and possibly as many as 300. Murdered in his home in 1985.",['Italy'],1,58,380.0,1981,1983,2
Andrei Chikatilo,Soviet Union,1978 to 1990,53,56,"Known as ""The Butcher of Rostov"", ""The Red Ripper"" or ""The Rostov Ripper"". Convicted of the murder of 53 women and children between 1978 and 1990. One man was previously convicted and executed for his first murder. Executed by gunshot in 1994.",['Soviet Union'],1,53,56.0,1978,1990,12
Anatoly Onoprienko,"Soviet Union
Ukraine",1989 to 1996,52,52+,"Known as ""The Beast of Ukraine"", ""The Terminator"" and ""Citizen O"". Convicted of the murders of nine people in 1989 and 43 people in 1995–1996. Traveled throughout Europe illegally from 1990 to 1995; whether he killed during this time is unknown. Sentenced to death, later commuted to imprisonment for life. Died from heart failure in 2013.","['Soviet Union', 'Ukraine']",2,52,52.0,1989,1996,7
Ivan Maleshoff,Soviet Union,1934 to 1935,50,50,"Known as, ""Bluebeard of Kharkiv""; Ivan Stepanovich Maleshoff was an electrical engineer and prolific albeit little known Soviet serial killer. He is purported to have killed 20 women in Kharkiv over a period of several months in 1935 with a knife, leaving behind little clues as to his identity other than taunting letters to police. Reportedly, apprehended by authorities as he attempted to kill his next victim, completely unaware he had been tailed after seen fleeing arrest by an undercover female officer earlier in the day. Prior to his execution, he confessed to an additional 30 murders in nearby Kyiv in 1934. Was convicted and executed in 1935 by firing squad at the age of 40.",['Soviet Union'],1,50,50.0,1934,1935,1
Florisvaldo de Oliveira,Brazil,1982,50,50+,"Known as ""Cabo Bruno""; former police officer and vigilante who murdered criminals in the outskirts of São Paulo; murdered by unknown assailants in 2012.",['Brazil'],1,50,50.0,1982,1982,0
Willy Pickton,Canada,1983 to 2002,49,49,"Nicknamed ""The Butcher""; Robert Pickton was a Canadian serial killer who killed 49 women and disposed of their bodies by feeding them to his pigs. He was convicted of only 6 murders but charged for his proven 49 victims. Unfortunately, much to the anger of the victims families, the remaining 43 charges were stayed or dropped. Sentenced to life.",['Canada'],1,49,49.0,1983,2002,19
Gary Ridgway,United States,1982 to 2000,49,71–90+,"Truck painter who confessed to killing 71 women. Also known as The Green River Killer. He almost exclusively targeted sex workers from Seattle. Suspected of killing over 90 victims, confessed to 71, convicted of 49. Sentenced to life without parole.",['United States'],1,49,80.0,1982,2000,18
Alexander Pichushkin,Russia,1992 to 2006,48,60,"Known as the Chessboard Killer. Convicted of murdering 48 victims and suspected of killing 60. Claimed to have murdered 62 people, because he did not know that two of his victims had survived; stated goal of becoming Russia's most prolific serial killer. Sentenced to imprisonment for life.",['Russia'],1,48,60.0,1992,2006,14
Wang Qiang,China,1995 to 2003,45,60+,Killed 45 and raped 10 from 1995 to 2003. Executed by firing squad in 2005.,['China'],1,45,60.0,1995,2003,8
Ahmad Suradji,Indonesia,1986 to 1997,42,70–80+,Convicted of strangling at least 42 women and girls in a series of ritual slayings he believed would give him magical powers. Executed by firing squad in 2008.,['Indonesia'],1,42,75.0,1986,1997,11
Raman Raghav,India,1965 to 1968,41,41,"In the late 1960s Raman Raghav went on a violent rampage in Mumbai, India. He bludgeoned 41 people to death inside their huts while they slept. Died of kidney failure in 1995.",['India'],1,41,41.0,1965,1968,3
Tiago Henrique Gomes da Rocha,Brazil,2011 to 2014,39,~39,Brazilian security guard who confessed to the murders of 39 people. Attempted suicide in prison. Sentenced to 25 years.,['Brazil'],1,39,39.0,2011,2014,3
Moses Sithole,South Africa,1994 to 1995,38,76,"Known as South Africa's Ted Bundy. Preyed on unemployed women, posing as a businessman and luring his victims with the prospects of a job, before leading them to an isolated place, where he raped, tortured, and murdered them. Sentenced to 2410 years imprisonment with a non-parole period of 930 years.",['South Africa'],1,38,76.0,1994,1995,1
Serhiy Tkach,"Soviet Union
Ukraine",1984 to 2005,36,80–100,"A former Ukrainian police criminal investigator, suffocated girls aged between eight and 18 and performed sexual acts on their bodies after they were dead. Claims to have killed 100. Sentenced to imprisonment for life. Died from heart failure in 2018.","['Soviet Union', 'Ukraine']",2,36,90.0,1984,2005,21
Gennady Mikhasevich,Soviet Union,1971 to 1985,36,43–55+,"Strangled women. Besides killing, he also robbed his victims of money and valuable items (that he would sometimes give to his wife as a gift). Executed by firing squad in 1987.",['Soviet Union'],1,36,49.0,1971,1985,14
Hadj Mohammed Mesfewi,Morocco,1906 and earlier,36,36+,"Known as ""Marrakesh Arch-Killer""; drugged, mutilated and murdered women; executed by immurement (walling) 1906.",['Morocco'],1,36,36.0,Unknown,1906,Unknown
Vera Renczi,"Kingdom of Romania
Yugoslavia
Hungary (alleged)",1920 to 1930,35,~35,"Romanian serial killer nicknamed, ""The Black Widow"" convicted of killing 35 men through arsenic poisoning but confessed to only killing 32 victims. Renczi is one of the world's most prolific female serial killers. However, there is very little information about Renczi and her crimes because personal information (criminal history, academic records, etc.) were not cataloged as well as they are today, making some criminologists believe she was a figure of Romanian folklore rather than an actual person.","['Kingdom of Romania', 'Yugoslavia', 'Hungary (alleged)']",3,35,35.0,1920,1930,10
Ted Bundy,United States,1974 to 1978,35,36–100+,"American serial killer known for his charisma and good looks. Bundy officially confessed to 30 homicides, but had confessed to killing 35–36 women in the past, and some estimates run upwards of 100 or more. Infamous for escaping from prison twice and murdering multiple victims in one day; sometimes abducting women from the same location within hours of one another. He was executed by electric chair in 1989.",['United States'],1,35,68.0,1974,1978,4
Clementine Barnabet,United States,1911,35,35,An axe murdering voodoo priestess who murdered African-American families at nighttime. Was released in 1923.,['United States'],1,35,35.0,1911,1911,0
John Wayne Gacy,United States,1972 to 1978,33,34+,"Known to have murdered a minimum of 33 teenage boys and young men between 1972 and 1978, 26 of whom he buried in the crawl space of his Chicago home. Gacy was known as the ""Killer Clown"" due to the fact he often entertained children at social events dressed in a self devised clown costume. Executed by lethal injection in 1994.",['United States'],1,33,34.0,1972,1978,6
Ali Asghar Borujerdi,"Ottoman Empire
 Iraq
 Iran",1907 to 1934,33,33,"Known as ""Asghar the Murderer"". Killed 33 young adults in Iraq and Iran. Executed by hanging in 1934.","['Ottoman Empire', ' Iraq', ' Iran']",3,33,33.0,1907,1934,27
Vasili Komaroff,Soviet Union,1921 to 1923,33,33,"Known as ""The Wolf of Moscow""; horse trader who killed 33 men. Executed by firing squad in 1923.",['Soviet Union'],1,33,33.0,1921,1923,2
Fernando Hernández Leyva,Mexico,1982 to 1999,33,100+,"Confessed to 100 murders and six kidnappings at the time of his arrest in 1999 (he had been arrested previously in 1982 and 1986, the second time for murder, but escaped from prison), but later retracted and claimed that he had been beaten by the police and his family threatened in order to force him to confess. Accused of as many as 137 murders in five southern Mexican states, convicted of 33 murders and sentenced 50 years in prison. Tried unsuccessfully to kill himself in prison. If his claim of 100+ victims were true then Leyva would be Mexico's most prolific documented serial killer.",['Mexico'],1,33,100.0,1982,1999,17
Ramadan Abdel Rehim Mansour,Egypt,1999 to 2006,32,32+,"Gang leader known as al-Tourbini (""The Express Train""). Raped and tortured homeless children, mostly boys aged 10 to 14 years old, aboard the trains between Cairo, Alexandria, Qalyubia and Beni Sueif. The victims were usually thrown off the moving train when they were dead or in agony; other times they were thrown into the Nile or buried alive. Executed in 2010.",['Egypt'],1,32,32.0,1999,2006,7
Radik Tagirov,Russia,2011 to 2012,32,32,"Serial killer called Radik Tagirov who murdered elderly women in several Russian regions; Kazakhstani native Pavel Shayakhmetov, found guilty of killing two elderly women in Samara, was arrested on suspicion of committing these murders [46]",['Russia'],1,32,32.0,2011,2012,1
